Time,Force
0,-0.00152663148867832
0.00075,-0.000895752724939247
0.0015,-0.000264938005491433
0.00225,0.000365899334791031
0.003,0.000996759293456217
0.00375,0.00169754254711774
0.0045,0.00225834380238044
0.00525,0.00295916277016195
0.006,0.0035197886710775
0.00675,0.00408053168460543
0.0075,0.00471107050041997
0.00825,0.00534161627530227
0.009,0.00597216900849462
0.00975,0.0065326161321877
0.0105,0.00709295421144673
0.01125,0.00772329469483635
0.012,0.00828352288139156
0.01275,0.00877363710548418
0.0135,0.00940375141312122
0.01425,0.00989375074846477
0.015,0.0104537499888846
0.01575,0.0110136340818362
0.0165,0.0115034039713485
0.01725,0.0120631749003286
0.018,0.0125528338760511
0.01875,0.0130424953889746
0.0195,0.0135321594388815
0.02025,0.0139516056485695
0.021,0.0145111674005871
0.02175,0.0149306262542748
0.0225,0.0154900919671697
0.02325,0.015979460301383
0.024,0.0164689415446956
0.02475,0.0169583284085023
0.0255,0.0174476259356915
0.02625,0.0179370346881857
0.027,0.0184263577440091
0.02775,0.0189156945428554
0.0285,0.0194750450234671
0.02925,0.0199644093074575
0.03,0.0205237872758829
0.03075,0.0210830932708039
0.0315,0.0215724172575321
0.03225,0.0220616782215427
0.033,0.0226910402283803
0.03375,0.0231804202604718
0.0345,0.0237397442241166
0.03525,0.0242291623569008
0.036,0.0247885291806044
0.03675,0.0254179186603148
0.0375,0.0259073950537575
0.03825,0.02639682744288
0.039,0.0269562824838437
0.03975,0.0275157602040105
0.0405,0.028075206507987
0.04125,0.0286347320976482
0.042,0.029264231564316
0.04275,0.0298937590191889
0.0435,0.0304533144725039
0.04425,0.0310828577843419
0.045,0.0316424719904651
0.04575,0.0322720799244974
0.0465,0.0329017217031113
0.04725,0.0335314254088587
0.048,0.034161131790712
0.04875,0.0347908720064261
0.0495,0.0354906651909814
0.05025,0.0361904699880561
0.051,0.0368203218827595
0.05175,0.0374502017282985
0.0525,0.0381501095212439
0.05325,0.0388500504280498
0.054,0.0395500113144281
0.05475,0.0402500001396777
0.0555,0.0409500089390868
0.05625,0.0417200357547642
0.057,0.0423500738812066
0.05775,0.0430501342098472
0.0585,0.0437502016558583
0.05925,0.044380270354375
0.06,0.04508036320438
0.06075,0.0457804536731904
0.0615,0.0464805367344245
0.06225,0.0471806267702152
0.063,0.0477407237854971
0.06375,0.048440806407844
0.0645,0.0490008934981856
0.06525,0.0496309617324991
0.066,0.0502610324747033
0.06675,0.0508210810206816
0.0675,0.0513811306802858
0.06825,0.0519411559092259
0.069,0.0525011558723465
0.06975,0.0530611305720724
0.0705,0.0535511305405106
0.07125,0.053971080826693
0.072,0.0545310322235598
0.07275,0.0549509614410515
0.0735,0.0553708931739721
0.07425,0.0557908060702333
0.075,0.056210723436308
0.07575,0.0567006264303549
0.0765,0.0570505364112917
0.07725,0.0574004376046561
0.078,0.0577503350343817
0.07875,0.0581002580034273
0.0795,0.0584501709290941
0.08025,0.0587301093928821
0.081,0.0590800558115839
0.08175,0.0594300168826667
0.0825,0.0597100012557128
0.08325,0.0599900050227831
0.084,0.0602700357169916
0.08475,0.06048008719864
0.0855,0.0607601709066113
0.08625,0.0609702825157132
0.087,0.061250422022911
0.08775,0.0614606077057311
0.0885,0.061740805797133
0.08925,0.0619510559220066
0.09,0.0621613398009735
0.09075,0.0623716574328292
0.0915,0.062581975475583
0.09225,0.0627923575409861
0.093,0.0630727733446462
0.09375,0.0632132229185217
0.0945,0.0634936608779507
0.09525,0.0637041748629974
0.096,0.0639146713994282
0.09675,0.0641251958217398
0.0975,0.0643357481289336
0.09825,0.0644763283452277
0.099,0.0647568743236487
0.09975,0.0648975075205016
0.1005,0.0651781011693719
0.10125,0.0654587173947752
0.102,0.0656692841235074
0.10275,0.0659498686521359
0.1035,0.0661604710562741
0.10425,0.0663710912982785
0.105,0.0666517293307756
0.10575,0.0669323022120177
0.1065,0.06721288874248
0.10725,0.0674934889215212
0.108,0.0678440141355957
0.10875,0.0681946395980065
0.1095,0.0684751865834976
0.11025,0.0687556500197245
0.111,0.0691062153144212
0.11175,0.0693866940567961
0.1125,0.0698071796192445
0.11325,0.0700875731283745
0.114,0.0705079709438083
0.11475,0.0708583732753371
0.1155,0.0712087800526728
0.11625,0.0715590879580197
0.117,0.071909294487606
0.11775,0.0722596065531667
0.1185,0.0726797107897015
0.11925,0.0730299206397572
0.12,0.0734500257007031
0.12075,0.0738001311156378
0.1215,0.0741501307147169
0.12225,0.0745700244244935
0.123,0.0749200240257136
0.12375,0.0753399180214992
0.1245,0.0757597073355565
0.12525,0.0761094978524823
0.126,0.0765291858489531
0.12675,0.0768788764444805
0.1275,0.0772985694872941
0.12825,0.0777181642811686
0.129,0.0780677636252164
0.12975,0.07841726918553
0.1305,0.0788367816673224
0.13125,0.0791862060164772
0.132,0.0795356404229297
0.13275,0.0798850848860777
0.1335,0.0803044494599142
0.13425,0.0807238277210826
0.135,0.0810732197212577
0.13575,0.0814925416018131
0.1365,0.0818418813985466
0.13725,0.0821912390577745
0.138,0.0826105377586034
0.13875,0.082959859105064
0.1395,0.0833792030144243
0.14025,0.0837285695611201
0.141,0.084217958641209
0.14175,0.0846373703554121
0.1425,0.0849867432534629
0.14325,0.085336144040577
0.144,0.0858256285367465
0.14475,0.0861750823139473
0.1455,0.0866645639387775
0.14625,0.0870141212685688
0.147,0.0875036558802178
0.14775,0.0879232183905143
0.1485,0.0883428484806359
0.14925,0.0887624639626083
0.15,0.089182141725635
0.15075,0.0896018420685091
0.1515,0.090091564983395
0.15225,0.090441310487353
